Order_ID,Order_Date,Region,Category,Product,Quantity,Cost_Price,Selling_Price,Discount_Percent,Sales,Profit,Loss_Flag,,
1,16-10-2024,East,Grocery,Rice,7,21.78,31.86,0,223.01,70.54,Profit,,
2,25-04-2023,Unknown,Furniture,Sofa,4,615.08,685.8,0,2743.2,282.87,Profit,,
3,26-01-2023,West,Electronics,Mobile,1,367.35,595.51,0,595.51,228.17,Profit,Region missing percentage,0
4,09-10-2023,North,Office Supplies,Paper,16,83.01,88.52,10,1416.34,88.17,Profit,,
5,08-09-2023,Central,Electronics,Tablet,7,227.32,400.6,5,2804.18,1212.97,Profit,Cost_Price,0
6,17-08-2023,Central,Office Supplies,Pen,15,32.35,40.32,0,604.86,119.67,Profit,,
7,23-05-2023,South,Office Supplies,Notebook,6,40.12,43.77,5,262.63,21.93,Profit,Discount_Percent,0
8,15-04-2023,North,Clothing,Shoes,16,81.43,96.69,15,1547,244.1,Profit,,
9,23-11-2024,South,Office Supplies,Printer,13,39.01,77.68,0,1009.84,502.69,Profit,,
10,12-07-2024,South,Office Supplies,Paper,11,80.34,78.86,15,867.47,-16.31,Loss,,
11,31-03-2023,East,Electronics,Monitor,9,762.79,858.74,15,7728.7,863.59,Profit,,
12,27-08-2024,Central,Electronics,Monitor,3,567.7,691.8,15,2075.39,372.31,Profit,,
13,08-03-2024,Central,Office Supplies,Stapler,9,65.12,80.81,10,727.26,141.16,Profit,,
14,02-02-2023,West,Electronics,Tablet,4,849.84,1379.84,0,5519.35,2119.98,Profit,,
15,31-01-2023,East,Electronics,Tablet,2,863.26,961.08,5,1922.15,195.63,Profit,,
16,06-04-2023,East,Clothing,Shirt,7,77.29,129.76,5,908.29,367.27,Profit,,
17,12-08-2023,South,Electronics,Headphones,9,600.49,830.28,0,7472.51,2068.09,Profit,,
18,27-08-2023,East,Electronics,Monitor,17,255.67,284.36,0,4834.12,487.78,Profit,,
19,01-06-2024,East,Furniture,Chair,17,334.77,399.44,15,6790.54,1099.48,Profit,,
20,08-09-2024,South,Office Supplies,Printer,6,55.24,69.7,5,418.18,-86.75,Loss,,
21,28-01-2023,South,Grocery,Beverages,6,9.94,10.01,15,60.09,0.47,Profit,,
22,28-07-2024,West,Furniture,Chair,4,367.21,476.75,15,1907,438.18,Profit,,
23,23-07-2023,South,Electronics,Headphones,18,762.35,1095.67,15,19722.05,5999.68,Profit,,
24,27-10-2024,North,Electronics,Mobile,16,1085.87,1009.91,20,16158.58,-1215.27,Loss,,
25,19-12-2024,Central,Clothing,Jacket,9,144.88,137.92,20,1241.27,-62.64,Loss,,
26,12-07-2024,West,Grocery,Spices,17,2.72,4.6,15,78.23,32.03,Profit,,
27,05-03-2024,South,Clothing,Shirt,14,86.55,137.35,0,1922.94,711.18,Profit,,
28,14-08-2023,North,Clothing,Jacket,8,73.08,116.18,5,929.45,344.78,Profit,,
29,04-04-2024,North,Clothing,Jacket,6,140.54,164.79,10,988.73,-145.49,Loss,,
30,26-08-2024,West,Clothing,Shoes,1,61.81,70.54,0,70.54,8.73,Profit,,
31,12-10-2023,East,Grocery,Beverages,14,41.42,32.74,30,458.39,-121.44,Loss,,
32,07-01-2023,West,Furniture,Bed,1,246.79,356.37,0,356.37,109.58,Profit,,
33,13-06-2023,East,Clothing,T-shirt,3,111.22,117.63,10,352.89,19.23,Profit,,
